UI_SECTION,UI_TAB,UI_PANEL,UI_FIELD_NAME,UI_SHORT_LABEL,FIELD_DESCRIPTION,JAVA_CLASS,JAVA_PROPERTY,DB_TABLE,DB_COLUMN,DATA_TYPE,LOOKUP_TABLE,LOOKUP_COLUMN,LOOKUP_DESCRIPTION_COLUMN,FIELD_ORIGIN,CUSTOM_ATTRIBUTE_ID,REQUIRED,READ_ONLY,CONFIDENCE,SOURCE_FILE,NOTES
Institutional Proposal Distribution,Cost Sharing,institutional Proposal Cost Share,Comments,,Comments,org.kuali.kra.institutionalproposal.home.InstitutionalProposalComment,comments,PROPOSAL_COMMENTS,COMMENTS,CLOB,,,,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/institutionalproposal/institutionalProposalCostShare.tag,
Institutional Proposal Distribution,Cost Sharing,institutional Proposal Cost Share,Cost Share Percentage,,Cost Share Percentage,org.kuali.kra.institutionalproposal.home.InstitutionalProposalCostShare,costSharePercentage,PROPOSAL_COST_SHARING,COST_SHARING_PERCENTAGE,NUMBER,,,,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/institutionalproposal/institutionalProposalCostShare.tag,
Institutional Proposal Distribution,Cost Sharing,institutional Proposal Cost Share,Cost Share Type Code,,Cost Share Type Code,org.kuali.kra.institutionalproposal.home.InstitutionalProposalCostShare,costShareTypeCode,PROPOSAL_COST_SHARING,COST_SHARING_TYPE_CODE,NUMBER,COST_SHARE_TYPE,COST_SHARE_TYPE_CODE,DESCRIPTION,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/institutionalproposal/institutionalProposalCostShare.tag,
Institutional Proposal Distribution,Cost Sharing,institutional Proposal Cost Share,Project Period,,Project Period,org.kuali.kra.institutionalproposal.home.InstitutionalProposalCostShare,projectPeriod,PROPOSAL_COST_SHARING,PROJECT_PERIOD,CHAR,,,,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/institutionalproposal/institutionalProposalCostShare.tag,
Institutional Proposal Distribution,Cost Sharing,institutional Proposal Cost Share,Source Account,,Source Account,org.kuali.kra.institutionalproposal.home.InstitutionalProposalCostShare,sourceAccount,PROPOSAL_COST_SHARING,SOURCE_ACCOUNT,VARCHAR2,,,,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/institutionalproposal/institutionalProposalCostShare.tag,
Institutional Proposal Distribution,Cost Sharing,institutional Proposal Cost Share,Unit,,Unit Number,org.kuali.kra.institutionalproposal.home.InstitutionalProposalCostShare,unitNumber,PROPOSAL_COST_SHARING,UNIT_NUMBER,VARCHAR2,UNIT,UNIT_NUMBER,DESCRIPTION,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/institutionalproposal/institutionalProposalCostShare.tag,
Institutional Proposal Distribution,Cost Sharing,institutional Proposal Cost Share,,,,InstitutionalProposalCostShare,unitName,,,,,,,DERIVED_DISPLAY,,,,LOW,coeus-webapp/src/main/webapp/WEB-INF/tags/institutionalproposal/institutionalProposalCostShare.tag,"no ORM mapping for this property - rendered from a related object or computed in Java/KRAD, not stored in its own column; no DataDictionary label in source; UI name not asserted"
Institutional Proposal Distribution,Rates,institutional Proposal F And A,Activity Type Code,,Activity Type Code,org.kuali.kra.institutionalproposal.home.InstitutionalProposalFandA,activityTypeCode,PROPOSAL_FNA_RATE,ACTIVITY_TYPE_CODE,VARCHAR2,,,,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/institutionalproposal/institutionalProposalFAndA.tag,
Institutional Proposal Distribution,Rates,institutional Proposal F And A,Amount,,Amount,org.kuali.kra.institutionalproposal.home.InstitutionalProposalFandA,amount,PROPOSAL_FNA_RATE,AMOUNT,NUMBER,,,,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/institutionalproposal/institutionalProposalFAndA.tag,
Institutional Proposal Distribution,Rates,institutional Proposal F And A,Applicable Rate,,Applicable Rate,org.kuali.kra.institutionalproposal.home.InstitutionalProposalFandA,applicableRate,PROPOSAL_FNA_RATE,APPLICABLE_RATE,NUMBER,,,,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/institutionalproposal/institutionalProposalFAndA.tag,
Institutional Proposal Distribution,Rates,institutional Proposal F And A,Comments,,Comments,org.kuali.kra.institutionalproposal.home.InstitutionalProposalComment,comments,PROPOSAL_COMMENTS,COMMENTS,CLOB,,,,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/institutionalproposal/institutionalProposalFAndA.tag,
Institutional Proposal Distribution,Rates,institutional Proposal F And A,Fiscal Year,,Fiscal Year,org.kuali.kra.institutionalproposal.home.InstitutionalProposalFandA,fiscalYear,PROPOSAL_FNA_RATE,FISCAL_YEAR,CHAR,,,,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/institutionalproposal/institutionalProposalFAndA.tag,
Institutional Proposal Distribution,Rates,institutional Proposal F And A,Institute Rate,,Institute Rate,org.kuali.kra.institutionalproposal.home.InstitutionalProposalFandA,instituteRate,PROPOSAL_FNA_RATE,INSTITUTE_RATE,NUMBER,,,,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/institutionalproposal/institutionalProposalFAndA.tag,
Institutional Proposal Distribution,Rates,institutional Proposal F And A,On Campus,,On Off Campus Flag,org.kuali.kra.institutionalproposal.home.InstitutionalProposalFandA,onOffCampusFlag,PROPOSAL_FNA_RATE,ON_OFF_CAMPUS_FLAG,CHAR,,,,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/institutionalproposal/institutionalProposalFAndA.tag,
