UI_SECTION,UI_TAB,UI_PANEL,UI_FIELD_NAME,UI_SHORT_LABEL,FIELD_DESCRIPTION,JAVA_CLASS,JAVA_PROPERTY,DB_TABLE,DB_COLUMN,DATA_TYPE,LOOKUP_TABLE,LOOKUP_COLUMN,LOOKUP_DESCRIPTION_COLUMN,FIELD_ORIGIN,CUSTOM_ATTRIBUTE_ID,REQUIRED,READ_ONLY,CONFIDENCE,SOURCE_FILE,NOTES
Negotiation Negotiation,Negotiation,negotiation,Start Date,,Start Date,org.kuali.kra.negotiations.bo.Negotiation,negotiationStartDate,NEGOTIATION,NEGOTIATION_START_DATE,DATE,,,,CORE_KUALI,,,,HIGH,coeus-webapp/src/main/webapp/WEB-INF/tags/negotiation/negotiation.tag,
Negotiation Negotiation,Negotiation,negotiation,,,,Negotiation,negotiationAge,,,,,,,DERIVED_DISPLAY,,,Y,LOW,coeus-webapp/src/main/webapp/WEB-INF/tags/negotiation/negotiation.tag,"no ORM mapping for this property - rendered from a related object or computed in Java/KRAD, not stored in its own column; no DataDictionary label in source; UI name not asserted"
Negotiation Negotiation,Negotiation,negotiation,,,,Negotiation,negotiatorUserName,,,,,,,DERIVED_DISPLAY,,,,LOW,coeus-webapp/src/main/webapp/WEB-INF/tags/negotiation/negotiation.tag,"no ORM mapping for this property - rendered from a related object or computed in Java/KRAD, not stored in its own column; no DataDictionary label in source; UI name not asserted"
Negotiation Negotiation,Negotiation,negotiation,,,,Negotiation,unAssociatedDetail.contactAdminUserName,,,,,,,DERIVED_DISPLAY,,,,LOW,coeus-webapp/src/main/webapp/WEB-INF/tags/negotiation/negotiation.tag,"no ORM mapping for this property - rendered from a related object or computed in Java/KRAD, not stored in its own column; no DataDictionary label in source; UI name not asserted"
Negotiation Negotiation,Negotiation,negotiation,,,,Negotiation,unAssociatedDetail.leadUnitNumber,,,,,,,DERIVED_DISPLAY,,,,LOW,coeus-webapp/src/main/webapp/WEB-INF/tags/negotiation/negotiation.tag,"no ORM mapping for this property - rendered from a related object or computed in Java/KRAD, not stored in its own column; no DataDictionary label in source; UI name not asserted"
Negotiation Negotiation,Negotiation,negotiation,,,,Negotiation,unAssociatedDetail.piEmployeeUserName,,,,,,,DERIVED_DISPLAY,,,,LOW,coeus-webapp/src/main/webapp/WEB-INF/tags/negotiation/negotiation.tag,"no ORM mapping for this property - rendered from a related object or computed in Java/KRAD, not stored in its own column; no DataDictionary label in source; UI name not asserted"
Negotiation Negotiation,Negotiation,negotiation,,,,Negotiation,unAssociatedDetail.piRolodexId,,,,,,,DERIVED_DISPLAY,,,,LOW,coeus-webapp/src/main/webapp/WEB-INF/tags/negotiation/negotiation.tag,"no ORM mapping for this property - rendered from a related object or computed in Java/KRAD, not stored in its own column; no DataDictionary label in source; UI name not asserted"
Negotiation Negotiation,Negotiation,negotiation,,,,Negotiation,unAssociatedDetail.primeSponsorCode,,,,,,,DERIVED_DISPLAY,,,,LOW,coeus-webapp/src/main/webapp/WEB-INF/tags/negotiation/negotiation.tag,"no ORM mapping for this property - rendered from a related object or computed in Java/KRAD, not stored in its own column; no DataDictionary label in source; UI name not asserted"
Negotiation Negotiation,Negotiation,negotiation,,,,Negotiation,unAssociatedDetail.sponsorAwardNumber,,,,,,,DERIVED_DISPLAY,,,,LOW,coeus-webapp/src/main/webapp/WEB-INF/tags/negotiation/negotiation.tag,"no ORM mapping for this property - rendered from a related object or computed in Java/KRAD, not stored in its own column; no DataDictionary label in source; UI name not asserted"
Negotiation Negotiation,Negotiation,negotiation,,,,Negotiation,unAssociatedDetail.sponsorCode,,,,,,,DERIVED_DISPLAY,,,,LOW,coeus-webapp/src/main/webapp/WEB-INF/tags/negotiation/negotiation.tag,"no ORM mapping for this property - rendered from a related object or computed in Java/KRAD, not stored in its own column; no DataDictionary label in source; UI name not asserted"
