DOMAIN,TABLE_NAME,EXTRACT_TYPE,FILE,STATUS,ROWS_WRITTEN
Award,AWD_BGT_PER_SUM_CALC_AMT,FULL,reference/package/award/awd_bgt_per_sum_calc_amt.csv,OK,3
Award,PENDING_TRANSACTIONS,SAMPLE,reference/package/award/pending_transactions.csv,OK,"1,000"
Award,TIME_AND_MONEY_DOCUMENT,SAMPLE,reference/package/award/time_and_money_document.csv,OK,"1,000"
Award,TRANSACTION_DETAILS,SAMPLE,reference/package/award/transaction_details.csv,OK,"1,000"
BU custom fields,AWARD_CUSTOM_DATA,SAMPLE,reference/package/bu_custom/award_custom_data.csv,OK,"1,000"
BU custom fields,AWARD_EXTENSION,SAMPLE,reference/package/bu_custom/award_extension.csv,OK,"1,000"
BU custom fields,BU_PRIMARY_ACAD_APPT,FULL,reference/package/bu_custom/bu_primary_acad_appt.csv,OK,"7,747"
BU custom fields,BU_VERSION_LOG,FULL,reference/package/bu_custom/bu_version_log.csv,OK,10
BU custom fields,CUSTOM_ATTRIBUTE,FULL,reference/package/bu_custom/custom_attribute.csv,OK,107
BU custom fields,CUSTOM_ATTRIBUTE_DATA_TYPE,FULL,reference/package/bu_custom/custom_attribute_data_type.csv,OK,5
BU custom fields,CUSTOM_ATTRIBUTE_DOCUMENT,FULL,reference/package/bu_custom/custom_attribute_document.csv,OK,146
BU custom fields,CUSTOM_ATTRIBUTE_DOC_VALUE,SAMPLE,reference/package/bu_custom/custom_attribute_doc_value.csv,OK,"1,000"
BU custom fields,NEGOTIATION_CUSTOM_DATA,SAMPLE,reference/package/bu_custom/negotiation_custom_data.csv,OK,"1,000"
BU custom fields,PENDING_TRANSACTIONS_EXTENSION,SAMPLE,reference/package/bu_custom/pending_transactions_extension.csv,OK,"1,000"
BU custom fields,PROPOSAL_CUSTOM_DATA,SAMPLE,reference/package/bu_custom/proposal_custom_data.csv,OK,"1,000"
BU custom fields,PROPOSAL_EXTENSION,SAMPLE,reference/package/bu_custom/proposal_extension.csv,OK,"1,000"
BU custom fields,PROPOSAL_LOG_EXTENSION,SAMPLE,reference/package/bu_custom/proposal_log_extension.csv,OK,"1,000"
BU custom fields,SUBAWARD_CUSTOM_DATA,SAMPLE,reference/package/bu_custom/subaward_custom_data.csv,OK,"1,000"
BU custom fields,SUBAWARD_EXTENSION,SAMPLE,reference/package/bu_custom/subaward_extension.csv,OK,"1,000"
Institutional Proposal,INSTITUTE_PROPOSAL_DOCUMENT,SAMPLE,reference/package/institutional_proposal/institute_proposal_document.csv,OK,"1,000"
Institutional Proposal,IP_REVIEW,SAMPLE,reference/package/institutional_proposal/ip_review.csv,OK,"1,000"
Institutional Proposal,IP_REVIEW_ACTIVITY_TYPE,FULL,reference/package/institutional_proposal/ip_review_activity_type.csv,OK,7
Institutional Proposal,IP_REVIEW_REQ_TYPE,FULL,reference/package/institutional_proposal/ip_review_req_type.csv,OK,4
Institutional Proposal,IP_REVIEW_RESULT_TYPE,FULL,reference/package/institutional_proposal/ip_review_result_type.csv,OK,4
Institutional Proposal,PROPOSAL,SAMPLE,reference/package/institutional_proposal/proposal.csv,OK,"1,000"
Institutional Proposal,PROPOSAL_ATTACHMENTS,SAMPLE,reference/package/institutional_proposal/proposal_attachments.csv,OK,"1,000"
Institutional Proposal,PROPOSAL_ATTACHMENT_TYPE,FULL,reference/package/institutional_proposal/proposal_attachment_type.csv,OK,7
Institutional Proposal,PROPOSAL_CFDA,FULL,reference/package/institutional_proposal/proposal_cfda.csv,OK,22
Institutional Proposal,PROPOSAL_COMMENTS,SAMPLE,reference/package/institutional_proposal/proposal_comments.csv,OK,"1,000"
Institutional Proposal,PROPOSAL_COST_SHARING,FULL,reference/package/institutional_proposal/proposal_cost_sharing.csv,OK,"2,524"
Institutional Proposal,PROPOSAL_EXEMPT_NUMBER,FULL,reference/package/institutional_proposal/proposal_exempt_number.csv,OK,49
Institutional Proposal,PROPOSAL_IP_REVIEW_JOIN,SAMPLE,reference/package/institutional_proposal/proposal_ip_review_join.csv,OK,"1,000"
Institutional Proposal,PROPOSAL_LOG,SAMPLE,reference/package/institutional_proposal/proposal_log.csv,OK,"1,000"
Institutional Proposal,PROPOSAL_LOG_STATUS,FULL,reference/package/institutional_proposal/proposal_log_status.csv,OK,5
Institutional Proposal,PROPOSAL_LOG_TYPE,FULL,reference/package/institutional_proposal/proposal_log_type.csv,OK,2
Institutional Proposal,PROPOSAL_NOTEPAD,FULL,reference/package/institutional_proposal/proposal_notepad.csv,OK,"6,954"
Institutional Proposal,PROPOSAL_PERSONS,SAMPLE,reference/package/institutional_proposal/proposal_persons.csv,OK,100
Institutional Proposal,PROPOSAL_PERSON_UNITS,SAMPLE,reference/package/institutional_proposal/proposal_person_units.csv,OK,"1,000"
Institutional Proposal,PROPOSAL_PERS_UNIT_CRED_SPLITS,SAMPLE,reference/package/institutional_proposal/proposal_pers_unit_cred_splits.csv,OK,"1,000"
Institutional Proposal,PROPOSAL_PER_CREDIT_SPLIT,SAMPLE,reference/package/institutional_proposal/proposal_per_credit_split.csv,OK,"1,000"
Institutional Proposal,PROPOSAL_SPECIAL_REVIEW,SAMPLE,reference/package/institutional_proposal/proposal_special_review.csv,OK,"1,000"
Institutional Proposal,PROPOSAL_STATE,FULL,reference/package/institutional_proposal/proposal_state.csv,OK,13
Institutional Proposal,PROPOSAL_STATUS,FULL,reference/package/institutional_proposal/proposal_status.csv,OK,6
Institutional Proposal,PROPOSAL_TYPE,FULL,reference/package/institutional_proposal/proposal_type.csv,OK,9
Institutional Proposal,PROPOSAL_UNIT_CONTACTS,SAMPLE,reference/package/institutional_proposal/proposal_unit_contacts.csv,OK,100
Negotiation,NEGOTIATION,FULL,reference/package/negotiation/negotiation.csv,OK,"11,842"
Negotiation,NEGOTIATION_ACTIVITY,SAMPLE,reference/package/negotiation/negotiation_activity.csv,OK,"1,000"
Negotiation,NEGOTIATION_ACTIVITY_TYPE,FULL,reference/package/negotiation/negotiation_activity_type.csv,OK,20
Negotiation,NEGOTIATION_AGREEMENT_TYPE,FULL,reference/package/negotiation/negotiation_agreement_type.csv,OK,9
Negotiation,NEGOTIATION_ASSOCIATION_TYPE,FULL,reference/package/negotiation/negotiation_association_type.csv,OK,5
Negotiation,NEGOTIATION_ATTACHMENT,SAMPLE,reference/package/negotiation/negotiation_attachment.csv,OK,"1,000"
Negotiation,NEGOTIATION_DOCUMENT,FULL,reference/package/negotiation/negotiation_document.csv,OK,"11,842"
Negotiation,NEGOTIATION_LOCATION,FULL,reference/package/negotiation/negotiation_location.csv,OK,12
Negotiation,NEGOTIATION_STATUS,FULL,reference/package/negotiation/negotiation_status.csv,OK,8
Negotiation,NEGOTIATION_UNASSOC_DETAIL,FULL,reference/package/negotiation/negotiation_unassoc_detail.csv,OK,"9,270"
Organization,ORGANIZATION,FULL,reference/package/reference/organization.csv,OK,"7,557"
Organization,ORGANIZATION_AUDIT_ACC_TYPE,FULL,reference/package/reference/organization_audit_acc_type.csv,OK,4
Organization,ORGANIZATION_TYPE,FULL,reference/package/reference/organization_type.csv,OK,2
Organization,ORGANIZATION_TYPE_LIST,FULL,reference/package/reference/organization_type_list.csv,OK,1
Organization,ORGANIZATION_YNQ,SAMPLE,reference/package/reference/organization_ynq.csv,OK,"1,000"
Proposal / pre-award,BUDGET,SAMPLE,reference/package/proposal/budget.csv,OK,"1,000"
Proposal / pre-award,BUDGET_CATEGORY,FULL,reference/package/proposal/budget_category.csv,OK,50
Proposal / pre-award,BUDGET_CATEGORY_MAPPING,FULL,reference/package/proposal/budget_category_mapping.csv,OK,137
Proposal / pre-award,BUDGET_CATEGORY_MAPS,FULL,reference/package/proposal/budget_category_maps.csv,OK,77
Proposal / pre-award,BUDGET_CATEGORY_TYPE,FULL,reference/package/proposal/budget_category_type.csv,OK,7
Proposal / pre-award,BUDGET_DETAILS,SAMPLE,reference/package/proposal/budget_details.csv,OK,"1,000"
Proposal / pre-award,BUDGET_DETAILS_CAL_AMTS,SAMPLE,reference/package/proposal/budget_details_cal_amts.csv,OK,"1,000"
Proposal / pre-award,BUDGET_DOCUMENT,SAMPLE,reference/package/proposal/budget_document.csv,OK,"1,000"
Proposal / pre-award,BUDGET_PERIODS,SAMPLE,reference/package/proposal/budget_periods.csv,OK,"1,000"
Proposal / pre-award,BUDGET_PERIOD_TYPE,FULL,reference/package/proposal/budget_period_type.csv,OK,3
Proposal / pre-award,BUDGET_PERSONS,FULL,reference/package/proposal/budget_persons.csv,OK,"5,230"
Proposal / pre-award,BUDGET_PERSON_SALARY_DETAILS,FULL,reference/package/proposal/budget_person_salary_details.csv,OK,"1,583"
Proposal / pre-award,BUDGET_RATE_AND_BASE,SAMPLE,reference/package/proposal/budget_rate_and_base.csv,OK,"1,000"
Proposal / pre-award,BUDGET_STATUS,FULL,reference/package/proposal/budget_status.csv,OK,2
Proposal / pre-award,EPS_PROPOSAL,FULL,reference/package/proposal/eps_proposal.csv,OK,1
Proposal / pre-award,EPS_PROPOSAL_DOCUMENT,FULL,reference/package/proposal/eps_proposal_document.csv,OK,1
Proposal / pre-award,EPS_PROPOSAL_STATUS,FULL,reference/package/proposal/eps_proposal_status.csv,OK,7
