CSV_COLUMN,CUSTOM_ATTRIBUTE_ID,CUSTOM_ATTRIBUTE_NAME,CUSTOM_ATTRIBUTE_LABEL,GROUP_NAME,DATA_TYPE,MAX_LENGTH,SOURCE
WILL_THESE_STAFF_BE_BU_EMPLOYEES_Y_N,750,emp_contr,Will these staff be BU employees? (Y/N),International Activity,Boolean,,KCOEUS.CUSTOM_ATTRIBUTE (production configuration)
WILL_THESE_STAFF_BE_THIRD_PARTY_CONTRACTORS_Y_N,753,3rd_party,Will these staff be third party contractors? (Y/N),International Activity,Boolean,,KCOEUS.CUSTOM_ATTRIBUTE (production configuration)
WILL_YOU_BE_CONDUCTING_HUMAN_SUBJECT_RESEARCH_INTERNATIONALL,790,hum_sub,Will you be conducting human subject research internationally? (Y/N),International Activity,Boolean,,KCOEUS.CUSTOM_ATTRIBUTE (production configuration)
WILL_YOU_BE_HIRING_TEMPORARY_OR_PERMANENT_STAFF_INTERNATIONA,740,temp_perm,Will you be hiring temporary or permanent staff internationally? (Y/N),International Activity,Boolean,,KCOEUS.CUSTOM_ATTRIBUTE (production configuration)
WILL_YOU_BE_INCURRING_IN_COUNTRY_OPERATIONAL_EXPENSES_Y_N,770,op_exp,Will you be incurring in-country operational expenses? (Y/N),International Activity,Boolean,,KCOEUS.CUSTOM_ATTRIBUTE (production configuration)
WILL_YOU_BE_OPENING_AND_OPERATING_AN_IN_COUNTRY_BANK_ACCOUNT,780,bank_acct,Will you be opening and operating an in-country bank account? (Y/N),International Activity,Boolean,,KCOEUS.CUSTOM_ATTRIBUTE (production configuration)
WILL_YOU_BE_RENTING_OR_LEASING_OFFICE_OR_RESEARCH_SPACE_Y_N,760,rent_lease,Will you be renting or leasing office or research space? (Y/N),International Activity,Boolean,,KCOEUS.CUSTOM_ATTRIBUTE (production configuration)
BUILDING_NAME,800,bldg_name,Building Name,Location of Research,String,,KCOEUS.CUSTOM_ATTRIBUTE (production configuration)
PRIVATE_USE_Y_N,830,private_use,Private Use (Y/N),Location of Research,Boolean,,KCOEUS.CUSTOM_ATTRIBUTE (production configuration)
ROOM_NUMBER,820,room_num,Room Number,Location of Research,String,,KCOEUS.CUSTOM_ATTRIBUTE (production configuration)
STREET_ADDRESS,811,str_add,Street Address,Location of Research,String,,KCOEUS.CUSTOM_ATTRIBUTE (production configuration)
NSF_ACTIVITY_TYPE,10,NSF_Activity_Type,NSF Activity Type,NSF HERD Survey Data,String,,KCOEUS.CUSTOM_ATTRIBUTE (production configuration)
REASON_FOR_WAIVER,11,Reason_for_Waiver,Reason for Waiver,NSF HERD Survey Data,String,,KCOEUS.CUSTOM_ATTRIBUTE (production configuration)
IF_THIS_A_DUAL_FUNDED_AWARD_SELECT_THE_OTHER_SPONSORED_AWARD,2,dual_funded,"If this a Dual-Funded Award, select the other Sponsored Award ID.",Project Relationships,String,30,KCOEUS.CUSTOM_ATTRIBUTE (production configuration)
PREVIOUS_COMPETITIVE_SEGMENT,1,competitive_segments,Previous Competitive Segment,Project Relationships,String,30,KCOEUS.CUSTOM_ATTRIBUTE (production configuration)
FUNDS_CENTER_NAME_1,600,fc_name_1,Funds Center Name 1,Space,String,,KCOEUS.CUSTOM_ATTRIBUTE (production configuration)
FUNDS_CENTER_NAME_2,620,fc_name_2,Funds Center Name 2,Space,String,,KCOEUS.CUSTOM_ATTRIBUTE (production configuration)
FUNDS_CENTER_NAME_3,640,fc_name_3,Funds Center Name 3,Space,String,,KCOEUS.CUSTOM_ATTRIBUTE (production configuration)
SPACE_ALLOCATION_1,610,sp_all_1,Space Allocation % 1,Space,Number,3,KCOEUS.CUSTOM_ATTRIBUTE (production configuration)
SPACE_ALLOCATION_2,630,sp_all_2,Space Allocation % 2,Space,Number,3,KCOEUS.CUSTOM_ATTRIBUTE (production configuration)
SPACE_ALLOCATION_3,650,sp_all_3,Space Allocation % 3,Space,Number,3,KCOEUS.CUSTOM_ATTRIBUTE (production configuration)
POST_DOCTORAL_TRAINEE_COUNT,4,postdoc-trainee,Post-Doctoral Trainee Count,Training Grant Supplemental Data,Number,3,KCOEUS.CUSTOM_ATTRIBUTE (production configuration)
PRE_DOCTORAL_TRAINEE_COUNT,3,predoc_trainee,Pre-Doctoral Trainee Count,Training Grant Supplemental Data,Number,3,KCOEUS.CUSTOM_ATTRIBUTE (production configuration)
