CUSTOM_ATTRIBUTE_ID,ATTRIBUTE_NAME,ATTRIBUTE_LABEL,GROUP_NAME,DATA_TYPE_CODE,DATA_TYPE_DESC,DATA_LENGTH,DEFAULT_VALUE,LOOKUP_CLASS,LOOKUP_RETURN,DOCUMENT_TYPE_CODE,ATTACHED_MODULE,IS_REQUIRED,ACTIVE_FLAG,AWARD_VALUE_ROWS,AWARD_DISTINCT_VALUES,PROPOSAL_VALUE_ROWS,PROPOSAL_DISTINCT_VALUES,SUBAWARD_VALUE_ROWS,SUBAWARD_DISTINCT_VALUES,NEGOTIATION_VALUE_ROWS,NEGOTIATION_DISTINCT_VALUES,DOC_VALUE_ROWS,DOC_DISTINCT_VALUES
750,emp_contr,Will these staff be BU employees? (Y/N),International Activity,4,Boolean,,,,,INPR,,N,Y,197041,2,114801,2,0,0,0,0,0,0
790,hum_sub,Will you be conducting human subject research internationally? (Y/N),International Activity,4,Boolean,,,,,INPR,,N,Y,197041,2,114801,2,0,0,0,0,0,0
793,internl_effort,Percent of the overall effort that will be performed in another country,International Activity,2,Number,3,,,,INPR,,N,Y,197040,53,114801,83,0,0,0,0,0,0
700,internl_research,International activity? (excluding travel to conferences) (Y/N),International Activity,4,Boolean,,,,,INPR,,Y,Y,213215,2,117315,2,0,0,0,0,0,0
770,op_exp,Will you be incurring in-country operational expenses? (Y/N),International Activity,4,Boolean,,,,,INPR,,N,Y,197041,2,114801,2,0,0,0,0,0,0
710,prim_travel,Is this activity primarily collaboration with colleagues? (Y/N),International Activity,4,Boolean,,,,,INPR,,N,Y,197041,2,114801,2,0,0,0,0,0,0
760,rent_lease,Will you be renting or leasing office or research space? (Y/N),International Activity,4,Boolean,,,,,INPR,,N,Y,197041,2,114801,2,0,0,0,0,0,0
740,temp_perm,Will you be hiring temporary or permanent staff internationally? (Y/N),International Activity,4,Boolean,,,,,INPR,,N,Y,197041,2,114801,2,0,0,0,0,0,0
800,bldg_name,Building Name,Location of Research,1,String,,,,,INPR,,N,Y,197041,535,114801,1281,0,0,0,0,0,0
830,private_use,Private Use (Y/N),Location of Research,4,Boolean,,,,,INPR,,N,Y,197041,2,114801,1,0,0,0,0,0,0
820,room_num,Room Number,Location of Research,1,String,,,,,INPR,,N,Y,197041,807,114801,1793,0,0,0,0,0,0
811,str_add,Street Address,Location of Research,1,String,,,,,INPR,,N,Y,197041,1894,114801,4381,0,0,0,0,0,0
10,NSF_Activity_Type,NSF Activity Type,NSF HERD Survey Data,1,String,,,,,INPR,NSF_Activity_Type,N,Y,1710,0,1109,0,0,0,0,0,0,0
11,Reason_for_Waiver,Reason for Waiver,NSF HERD Survey Data,1,String,,,,,INPR,Reason_for_Waiver,N,Y,1710,0,1109,0,0,0,0,0,0,0
1,competitive_segments,Previous Competitive Segment,Project Relationships,1,String,30,,org.kuali.kra.award.home.Award,sponsorAwardNumber,INPR,,N,Y,241918,14,119254,0,0,0,0,0,75197,12
2,dual_funded,"If this a Dual-Funded Award, select the other Sponsored Award ID.",Project Relationships,1,String,30,,org.kuali.kra.award.home.Award,sponsorAwardNumber,INPR,,N,Y,241918,4,119254,0,0,0,0,0,75197,2
600,fc_name_1,Funds Center Name 1,Space,1,String,,,org.kuali.coeus.common.framework.unit.Unit,unitNumber,INPR,,N,Y,197041,100,114801,161,0,0,0,0,0,0
620,fc_name_2,Funds Center Name 2,Space,1,String,,,org.kuali.coeus.common.framework.unit.Unit,unitNumber,INPR,,N,Y,197041,20,114801,46,0,0,0,0,0,0
640,fc_name_3,Funds Center Name 3,Space,1,String,,,org.kuali.coeus.common.framework.unit.Unit,unitNumber,INPR,,N,Y,197041,1,114801,7,0,0,0,0,0,0
