DOMAIN,TABLE_NAME,EXTRACT_TYPE,ROW_COUNT,COLUMN_COUNT,PRIMARY_KEY,LINEAGE_KEYS,CONTAINS_PII,NOTES
Institutional Proposal,PROPOSAL_SPECIAL_REVIEW,SAMPLE,43228,14,PROPOSAL_SPECIAL_REVIEW_ID,PROPOSAL_ID,N,
Institutional Proposal,PROPOSAL_STATE,FULL,13,6,STATE_TYPE_CODE,,N,
Institutional Proposal,PROPOSAL_STATUS,FULL,6,6,PROPOSAL_STATUS_CODE,,N,
Institutional Proposal,PROPOSAL_TYPE,FULL,9,6,PROPOSAL_TYPE_CODE,,N,
Institutional Proposal,PROPOSAL_UNITS,EMPTY,0,10,PROPOSAL_UNITS_ID,"PROPOSAL_NUMBER,SEQUENCE_NUMBER,UNIT_NUMBER,PERSON_ID",N,"no rows in production; columns documented, no data file"
Institutional Proposal,PROPOSAL_UNIT_CONTACTS,SAMPLE,128705,12,PROPOSAL_UNIT_CONTACT_ID,"PROPOSAL_ID,PROPOSAL_NUMBER,SEQUENCE_NUMBER,PERSON_ID",Y,PII: send column structure + masked sample only
Institutional Proposal,PROPOSAL_UNIT_CREDIT_SPLIT,EMPTY,0,12,PROPOSAL_UNIT_CREDIT_SPLIT_ID,"PROPOSAL_ID,PROPOSAL_NUMBER,SEQUENCE_NUMBER,UNIT_NUMBER,PERSON_ID",N,"no rows in production; columns documented, no data file"
Institutional Proposal,PROPOSAL_UNRECOVERED_FNA_RATE,EMPTY,0,14,PROPOSAL_IDC_RATE_ID,"PROPOSAL_ID,PROPOSAL_NUMBER,SEQUENCE_NUMBER",N,"no rows in production; columns documented, no data file"
Negotiation,NEGOTIATION,FULL,11842,16,NEGOTIATION_ID,"NEGOTIATION_ID,DOCUMENT_NUMBER",N,
Negotiation,NEGOTIATION_ACTIVITY,SAMPLE,30475,16,NEGOTIATION_ACTIVITY_ID,NEGOTIATION_ID,N,
Negotiation,NEGOTIATION_ACTIVITY_TYPE,FULL,20,8,NEGOTIATION_ACTIVITY_TYPE_ID,,N,
Negotiation,NEGOTIATION_AGREEMENT_TYPE,FULL,9,8,NEGOTIATION_AGRMNT_TYPE_ID,,N,
Negotiation,NEGOTIATION_ASSOCIATION_TYPE,FULL,5,8,NEGOTIATION_ASSC_TYPE_ID,,N,
Negotiation,NEGOTIATION_ATTACHMENT,SAMPLE,32643,9,ATTACHMENT_ID,,N,"binary payload: send metadata columns, not file content"
Negotiation,NEGOTIATION_DOCUMENT,FULL,11842,5,DOCUMENT_NUMBER,DOCUMENT_NUMBER,N,
