DOMAIN,TABLE_NAME,COLUMN_ID,COLUMN_NAME,DATA_TYPE,NULLABLE,DATA_DEFAULT,ORACLE_COLUMN_COMMENT,UI_FIELD_NAME,FIELD_DESCRIPTION,JAVA_OBJECT,JAVA_PROPERTY,LOOKUP_TABLE,LOOKUP_COLUMN,FIELD_ORIGIN,MAPPING_PRIORITY,EXTRACT_TYPE,CONTAINS_PII
Award,AWARD_SCIENCE_KEYWORD,7,OBJ_ID,VARCHAR2(36),N,,,,,org.kuali.kra.award.home.keywords.AwardScienceKeyword,objectId,,,CORE_KUALI,NOT_FOR_HURON,EMPTY,N
Award,AWARD_SPECIAL_REVIEW,1,EXPIRATION_DATE,DATE,Y,,,Expiration Date,Expiration Date,org.kuali.kra.award.specialreview.AwardSpecialReview,expirationDate,,,CORE_KUALI,HIGH,SAMPLE,N
Award,AWARD_SPECIAL_REVIEW,2,AWARD_SPECIAL_REVIEW_ID,"NUMBER(12,0)",N,,,Award Special Review Id,Award Special Review Id,org.kuali.kra.award.specialreview.AwardSpecialReview,awardSpecialReviewId,,,CORE_KUALI,HIGH,SAMPLE,N
Award,AWARD_SPECIAL_REVIEW,3,AWARD_ID,"NUMBER(22,0)",N,,,,,org.kuali.kra.award.specialreview.AwardSpecialReview,awardId,AWARD,AWARD_ID,CORE_KUALI,HIGH,SAMPLE,N
Award,AWARD_SPECIAL_REVIEW,4,VER_NBR,"NUMBER(8,0)",N,1,,,,org.kuali.kra.award.specialreview.AwardSpecialReview,versionNumber,,,CORE_KUALI,NOT_FOR_HURON,SAMPLE,N
Award,AWARD_SPECIAL_REVIEW,5,SPECIAL_REVIEW_NUMBER,"NUMBER(3,0)",N,,,Special Review Number,Special Review Number,org.kuali.kra.award.specialreview.AwardSpecialReview,specialReviewNumber,,,CORE_KUALI,HIGH,SAMPLE,N
Award,AWARD_SPECIAL_REVIEW,6,SPECIAL_REVIEW_CODE,"NUMBER(3,0)",N,,,Type,Special Review Type Code,org.kuali.kra.award.specialreview.AwardSpecialReview,specialReviewTypeCode,SPECIAL_REVIEW,SPECIAL_REVIEW_CODE,CORE_KUALI,HIGH,SAMPLE,N
Award,AWARD_SPECIAL_REVIEW,7,APPROVAL_TYPE_CODE,"NUMBER(3,0)",N,,,Approval Status,Approval Status Type Code,org.kuali.kra.award.specialreview.AwardSpecialReview,approvalTypeCode,SP_REV_APPROVAL_TYPE,APPROVAL_TYPE_CODE,CORE_KUALI,HIGH,SAMPLE,N
Award,AWARD_SPECIAL_REVIEW,8,PROTOCOL_NUMBER,VARCHAR2(20),Y,,,Protocol Number,Protocol Number,org.kuali.kra.award.specialreview.AwardSpecialReview,protocolNumber,,,CORE_KUALI,HIGH,SAMPLE,N
Award,AWARD_SPECIAL_REVIEW,9,APPLICATION_DATE,DATE,Y,,,Application Date,Application Date,org.kuali.kra.award.specialreview.AwardSpecialReview,applicationDate,,,CORE_KUALI,HIGH,SAMPLE,N
Award,AWARD_SPECIAL_REVIEW,10,APPROVAL_DATE,DATE,Y,,,Approval Date,Approval Date,org.kuali.kra.award.specialreview.AwardSpecialReview,approvalDate,,,CORE_KUALI,HIGH,SAMPLE,N
Award,AWARD_SPECIAL_REVIEW,11,COMMENTS,CLOB,Y,,,Comments,Comments,org.kuali.kra.award.specialreview.AwardSpecialReview,comments,,,CORE_KUALI,HIGH,SAMPLE,N
Award,AWARD_SPECIAL_REVIEW,12,UPDATE_USER,VARCHAR2(60),N,,,,,org.kuali.kra.award.specialreview.AwardSpecialReview,updateUser,,,CORE_KUALI,NOT_FOR_HURON,SAMPLE,N
Award,AWARD_SPECIAL_REVIEW,13,UPDATE_TIMESTAMP,DATE,N,,,,,org.kuali.kra.award.specialreview.AwardSpecialReview,updateTimestamp,,,CORE_KUALI,NOT_FOR_HURON,SAMPLE,N
Award,AWARD_SPECIAL_REVIEW,14,OBJ_ID,VARCHAR2(36),N,,,,,org.kuali.kra.award.specialreview.AwardSpecialReview,objectId,,,CORE_KUALI,NOT_FOR_HURON,SAMPLE,N
Award,AWARD_SPONSOR_CONTACTS,1,AWARD_SPONSOR_CONTACT_ID,"NUMBER(22,0)",N,,,,,org.kuali.kra.award.contacts.AwardSponsorContact,awardContactId,,,CORE_KUALI,HIGH,FULL,Y
Award,AWARD_SPONSOR_CONTACTS,2,AWARD_ID,"NUMBER(22,0)",N,,,,,org.kuali.kra.award.contacts.AwardSponsorContact,awardId,AWARD,AWARD_ID,CORE_KUALI,HIGH,FULL,Y
Award,AWARD_SPONSOR_CONTACTS,3,AWARD_NUMBER,VARCHAR2(12),N,,,,,org.kuali.kra.award.contacts.AwardSponsorContact,awardNumber,,,CORE_KUALI,HIGH,FULL,Y
Award,AWARD_SPONSOR_CONTACTS,4,SEQUENCE_NUMBER,"NUMBER(4,0)",N,,,,,org.kuali.kra.award.contacts.AwardSponsorContact,sequenceNumber,,,CORE_KUALI,HIGH,FULL,Y
Award,AWARD_SPONSOR_CONTACTS,5,ROLODEX_ID,"NUMBER(6,0)",Y,,,,,org.kuali.kra.award.contacts.AwardSponsorContact,rolodexId,,,CORE_KUALI,HIGH,FULL,Y
Award,AWARD_SPONSOR_CONTACTS,6,FULL_NAME,VARCHAR2(90),Y,,,,,org.kuali.kra.award.contacts.AwardSponsorContact,fullName,,,CORE_KUALI,MEDIUM,FULL,Y
Award,AWARD_SPONSOR_CONTACTS,7,CONTACT_ROLE_CODE,VARCHAR2(12),N,,,,,org.kuali.kra.award.contacts.AwardSponsorContact,roleCode,CONTACT_TYPE,CONTACT_TYPE_CODE,CORE_KUALI,MEDIUM,FULL,Y
Award,AWARD_SPONSOR_CONTACTS,8,UPDATE_TIMESTAMP,DATE,N,,,,,org.kuali.kra.award.contacts.AwardSponsorContact,updateTimestamp,,,CORE_KUALI,NOT_FOR_HURON,FULL,Y
